"LOGFC"	"PVAL"	"SONDE"	"REFSEQ"	"EG"	"SYMBOL"	"REFSEQ.1"
"NM_007274_1657"	-3.22282223690671	0.00390544252054289	"NM_007274_1657"	"NM_007274"	"11332"	"ACOT7"	"NM_007274"
"NM_002643_710"	-3.34284794685381	0.00146631745565677	"NM_002643_710"	"NM_002643"	"5281"	"PIGF"	"NM_002643"
"NM_002040_1833"	-2.56014550667525	5.63713893834807e-05	"NM_002040_1833"	"NM_002040"	"2551"	"GABPA"	"NM_002040"
"NM_002888_627"	-2.99998978850078	0.000161241498946654	"NM_002888_627"	"NM_002888"	"5918"	"RARRES1"	"NM_002888"
"NM_145175_2093"	-2.10553704064954	0.000399708217547616	"NM_145175_2093"	"NM_145175"	"151354"	"FAM84A"	"NM_145175"
"NM_030572_400"	-2.13373356792541	6.41321642570452e-05	"NM_030572_400"	"NM_030572"	"80763"	"SPX"	"NM_030572"
"NM_001274_1873"	-2.76544332597996	0.00434271389198498	"NM_001274_1873"	"NM_001274"	"1111"	"CHEK1"	"NM_001274"
"NM_000216_5201"	-2.46506635722707	0.000711745371182596	"NM_000216_5201"	"NM_000216"	"3730"	"KAL1"	"NM_000216"
"NM_014407_1389"	-3.01469963680496	0.0201366357886405	"NM_014407_1389"	"NM_014407"	"27094"	"KCNMB3"	"NM_014407"
"NM_002374_5168"	-3.20966325250209	0.00405291480478507	"NM_002374_5168"	"NM_002374"	"4133"	"MAP2"	"NM_002374"
"NM_138340_700"	-2.83226028838898	0.00546387212362387	"NM_138340_700"	"NM_138340"	"171586"	"ABHD3"	"NM_138340"
"NM_152279_2768"	-2.80282678430339	0.00402341420599624	"NM_152279_2768"	"NM_152279"	"92285"	"ZNF585B"	"NM_152279"
"NM_018098_3812"	-3.18208625865874	0.00165521496240902	"NM_018098_3812"	"NM_018098"	"1894"	"ECT2"	"NM_018098"
"NM_006137_706"	-2.28712216189663	0.000473288880068779	"NM_006137_706"	"NM_006137"	"924"	"CD7"	"NM_006137"
"NM_174924_812"	-2.80743590714905	0.000582471253150052	"NM_174924_812"	"NM_174924"	"204474"	"PDILT"	"NM_174924"
"NM_018933_3176"	-2.33920536354266	0.00268418444514768	"NM_018933_3176"	"NM_018933"	"56123"	"PCDHB13"	"NM_018933"
"NM_144648_2601"	-2.76148582626483	0.000123353066462528	"NM_144648_2601"	"NM_144648"	"136332"	"LRGUK"	"NM_144648"
"NM_004366_2460"	-2.79648396983065	0.00201367367304186	"NM_004366_2460"	"NM_004366"	"1181"	"CLCN2"	"NM_004366"
"NM_152738_356"	-2.74550181055785	0.000957909385107788	"NM_152738_356"	"NM_152738"	"221718"	"LINC00518"	"NM_152738"
"NM_032270_2466"	-2.36097503252537	0.0068203623509371	"NM_032270_2466"	"NM_032270"	"84230"	"LRRC8C"	"NM_032270"
"NM_005950_262"	-3.08984586062162	0.00166827460589224	"NM_005950_262"	"NM_005950"	"4495"	"MT1G"	"NM_005950"
"NM_007124_9918"	-2.92352762768846	0.000347173397047561	"NM_007124_9918"	"NM_007124"	"7402"	"UTRN"	"NM_007124"
"NM_003983_5627"	-2.69834493252397	0.000233364083650617	"NM_003983_5627"	"NM_003983"	"9057"	"SLC7A6"	"NM_003983"
"NM_022054_2272"	-3.38397074947765	0.000489689568264562	"NM_022054_2272"	"NM_022054"	"56659"	"KCNK13"	"NM_022054"
"NM_033420_2507"	-3.4749309253382	7.8672578556748e-05	"NM_033420_2507"	"NM_033420"	"91304"	"TMEM259"	"NM_033420"
"NM_025189_117"	-2.27244353564722	0.000235918518053611	"NM_025189_117"	"NM_025189"	"80264"	"ZNF430"	"NM_025189"
"NM_000947_1463"	-2.90805495659157	0.00088938247034765	"NM_000947_1463"	"NM_000947"	"5558"	"PRIM2"	"NM_000947"
"NM_012347_1389"	-2.84208684969278	9.01739615963333e-05	"NM_012347_1389"	"NM_012347"	"26268"	"FBXO9"	"NM_012347"
"NM_144642_2235"	-5.08838012281459	3.18472530944758e-05	"NM_144642_2235"	"NM_144642"	"132204"	"SYNPR"	"NM_144642"
"NM_005769_1455"	-3.16084835316081	0.00506370803720955	"NM_005769_1455"	"NM_005769"	"10164"	"CHST4"	"NM_005769"
"NM_024040_1047"	-2.42479277737799	0.000804569611294212	"NM_024040_1047"	"NM_024040"	"79004"	"CUEDC2"	"NM_024040"
"NM_004497_1684"	-2.16817115478986	0.000205222301804378	"NM_004497_1684"	"NM_004497"	"3171"	"FOXA3"	"NM_004497"
"NM_018348_3206"	-2.7485474458192	0.000235918518053611	"NM_018348_3206"	"NM_018348"	"55783"	"CMTR2"	"NM_018348"
"NM_014674_5409"	-2.20724141669939	0.000808711687642367	"NM_014674_5409"	"NM_014674"	"9695"	"EDEM1"	"NM_014674"
"NM_153763_1857"	-3.87936653318026	0.000400137845132454	"NM_153763_1857"	"NM_153763"	"3749"	"KCNC4"	"NM_153763"
"NM_172005_708"	-2.13446932589205	0.00314676846982346	"NM_172005_708"	"NM_172005"	"164237"	"WFDC13"	"NM_172005"
"NM_014226_1880"	-2.0055321707372	0.000677912099819725	"NM_014226_1880"	"NM_014226"	"5891"	"MOK"	"NM_014226"
"NM_058184_906"	-2.51744890042869	0.000402155479318746	"NM_058184_906"	"NM_058184"	"54072"	"LINC00158"	"NM_058184"
"NM_015099_4425"	-4.27247378536512	0.000148177919392008	"NM_015099_4425"	"NM_015099"	"23125"	"CAMTA2"	"NM_015099"
"NM_032362_66"	-2.96263681135269	3.32066448696908e-05	"NM_032362_66"	"NM_032362"	"84322"	"C18orf12"	"NM_032362"
"NM_024672_1783"	-7.59960354714503	0.000489689568264562	"NM_024672_1783"	"NM_024672"	"79725"	"THAP9"	"NM_024672"
"NM_033377_48"	-3.56273864168276	0.000326595502440683	"NM_033377_48"	"NM_033377"	"114335"	"CGB1"	"NM_033377"
"NM_005110_2935"	-3.30475792083281	0.000638463803084908	"NM_005110_2935"	"NM_005110"	"9945"	"GFPT2"	"NM_005110"
"NM_080593_531"	-2.81649509882083	0.00519847666590905	"NM_080593_531"	"NM_080593"	"85236"	"HIST1H2BK"	"NM_080593"
"NM_015629_668"	-2.03032169347382	0.00989039891213226	"NM_015629_668"	"NM_015629"	"26121"	"PRPF31"	"NM_015629"
"NM_145204_569"	-3.14158443750675	0.00235429625914104	"NM_145204_569"	"NM_145204"	"123228"	"SENP8"	"NM_145204"
"NM_177456_696"	-4.72825388898217	1.54899066583797e-05	"NM_177456_696"	"NM_177456"	"139081"	"MAGEC3"	"NM_177456"
