"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"NM_033412_1292"	"SLC25A51"	11.8444578118941	11.4845348709268	127.083801524003	1.88449545910335e-22	2.66561882690169e-18	39.2188523031626
"NM_016183_857"	"MRTO4"	8.49149435196486	8.47194198156863	84.1176393756361	5.35062655594184e-20	3.78423063168986e-16	35.3793701327686
"NM_145061_1972"	"SKA3"	8.38780005780278	7.62083471678934	70.9843206632031	5.45419255134764e-19	2.14500145867505e-15	33.4949110082239
"NM_032017_3789"	"STK40"	7.09152037675035	6.85239614217988	68.4204142550293	9.01856749575648e-19	2.14500145867505e-15	33.0671580009795
"NM_002027_1560"	"FNTA"	8.41713257399846	8.37442198652798	68.3801035706037	9.0915108822865e-19	2.14500145867505e-15	33.0602536858064
"NM_030770_2151"	"TMPRSS5"	-9.18407817401923	-8.49979526823601	-68.1604412077126	9.50027856972788e-19	2.14500145867505e-15	33.022530483777
"NM_006472_1297"	"TXNIP"	-12.1823841826074	-11.7376574260823	-67.6093884778199	1.06150655431074e-18	2.14500145867505e-15	32.9271475279696
"NM_005516_471"	"HLA-E"	8.64150243812453	8.69006286672164	64.1965533062287	2.15448796248132e-18	3.80940402866228e-15	32.3115678364259
"NM_015196_3542"	"KIAA0922"	-10.2884004286215	-8.5941288022642	-63.531428755509	2.48396305509674e-18	3.90396193492705e-15	32.1863880881954
"NM_017548_2719"	"CDV3"	7.78421697723449	7.49879073691534	61.0216703100735	4.30802706651845e-18	6.09370428559035e-15	31.6977015415014
"NM_005202_3945"	"COL8A2"	7.57903029225975	7.54368054907646	60.0486317478839	5.36573111411037e-18	6.89984241900829e-15	31.5009882466077
"NM_145308_354"	"SHANK2-AS3"	-5.32456685021361	-5.99450486693583	-57.0213214009555	1.08744101166084e-17	1.28182109249522e-14	30.8612453220262
"NM_001731_593"	"BTG1"	3.86472322584511	2.20444078761094	54.4045778224907	2.06485799558065e-17	2.22405306616475e-14	30.2719237255871
"NM_021033_3993"	"RAP2A"	5.98759864623503	5.7860044599885	54.1501708943452	2.20125436029032e-17	2.22405306616475e-14	30.212709982518
"NM_178813_410"	"AKAP14"	5.71267862201146	4.43388881990279	53.317821125196	2.71939033386702e-17	2.27828003182942e-14	30.016501013629
"NM_024745_2422"	"SHCBP1"	8.83419552608648	8.40278516479832	53.292266858434	2.73723696447574e-17	2.27828003182942e-14	30.0104162985913
"NM_021072_1859"	"HCN1"	12.3784140587455	12.0616326758946	53.2910017408593	2.7381237568823e-17	2.27828003182942e-14	30.010114966914
"NM_024628_623"	"SLC12A8"	6.48119664505956	6.24852876574583	52.7530165027319	3.14468619147992e-17	2.47119923213797e-14	29.8811565742427
"NM_015435_4162"	"RNF19A"	-4.40282336555888	-2.93945612082329	-52.1701466076029	3.65937856291421e-17	2.72431104065376e-14	29.7395711321708
"NM_013995_3342"	"LAMP2"	7.49700603531361	7.60779433031976	50.6876486875825	5.42228322869095e-17	3.83490981349167e-14	29.3704244386443
"NM_014548_1273"	"TMOD2"	5.8035657519983	4.57369441664758	49.5157039326302	7.45968264923183e-17	5.02462909873258e-14	29.069061233648
"NM_148571_2303"	"MRPL27"	6.66476382851421	6.42213792036002	49.1872344105713	8.16830523981892e-17	5.25184898260176e-14	28.9830271598255
"NM_058193_1509"	"TRIM29"	7.89460638486446	7.96673591747546	48.7990148664949	9.10017759360846e-17	5.5966092200692e-14	28.880436240403
"NM_005159_1136"	"ACTC1"	-6.24091939369389	-5.45323881284103	-48.251756912924	1.06125365913028e-16	6.2547637534991e-14	28.7341221290019
"NM_018242_2466"	"SLC47A1"	6.73942429723027	6.75003967871676	46.2265246388552	1.90370233825244e-16	1.02539053991587e-13	28.1747258794197
"NM_003714_1638"	"STC2"	6.57136630751951	6.33663464616952	46.1759631948932	1.93229991538766e-16	1.02539053991587e-13	28.1603862370658
"NM_001380_5693"	"DOCK1"	6.58393668532473	5.896601737422	46.1150297573094	1.96737750222308e-16	1.02539053991587e-13	28.1430801163856
"NM_004900_932"	"APOBEC3B"	9.74815197287243	9.79653129203227	46.009492122817	2.02975858025057e-16	1.02539053991587e-13	28.1130410849718
"NM_000100_461"	"CSTB"	3.44223353233786	3.18551050902031	45.4375665324645	2.4068488207971e-16	1.17396126104052e-13	27.948816412963
"NM_052940_773"	"LRRC42"	-9.98473614526959	-10.1947327393628	-45.2647318203011	2.53509302776799e-16	1.19529636259261e-13	27.8987046908416
"NM_020710_2544"	"LRRC47"	-6.24055626980758	-5.63985666203947	-44.9895707774887	2.75462669746757e-16	1.25690950437674e-13	27.8184550621605
"NM_002791_856"	"PSMA6"	8.06257415503947	7.9441795813296	44.7915535696924	2.92519228631864e-16	1.29302640281179e-13	27.760344160106
"NM_002391_690"	"MDK"	4.90558319396456	4.67627553542428	44.3597413022307	3.33771447742e-16	1.43066579645776e-13	27.6325648326338
"NM_175910_2071"	"ZNF493"	11.1531307144346	10.8419691957702	44.0740425019587	3.6446881715849e-16	1.51629747609025e-13	27.5472148413769
"NM_002636_579"	"PHF1"	6.26603472806931	6.38028153670522	43.9007714827246	3.84551068737311e-16	1.55413567636836e-13	27.4951343829672
"NM_001954_3639"	"DDR1"	6.71145791556296	6.19872416323945	43.7867410850176	3.98412743453698e-16	1.56543007115349e-13	27.4607282509127
"NM_005614_1101"	"RHEB"	5.26010654599168	5.06085754566393	41.9327380723881	7.17929515585988e-16	2.74462513458481e-13	26.88619118097
"NM_031898_1582"	"TEKT3"	-10.3090353375271	-8.89050954425763	-41.64656228814	7.8804024425452e-16	2.93337611973163e-13	26.7948836745871
"NM_018042_1525"	"SLFN12"	11.1712423461368	11.2754307249517	41.5573563906643	8.11369274974475e-16	2.94277394731127e-13	26.7662733282788
"NM_014556_6629"	"EVC"	8.18437841234435	8.46690840307307	41.1916929178481	9.1503208096675e-16	3.18153100767411e-13	26.6482523416978
"NM_013444_1251"	"UBQLN2"	-7.74808167959177	-4.98967150641373	-41.168128248193	9.22182900775105e-16	3.18153100767411e-13	26.6406052980088
"NM_139175_1356"	"RNF133"	-6.48522644566722	-4.76884519475043	-40.0505844992563	1.3408348697201e-15	4.48235458756885e-13	26.2720663489889
"NM_006465_3799"	"ARID3B"	-3.38974833510906	-2.74799715029856	-39.9700578849954	1.37803614653851e-15	4.48235458756885e-13	26.2450572993402
"NM_014999_2306"	"RAB21"	5.91470716498392	5.63113150806148	39.9355843261406	1.39429905869939e-15	4.48235458756885e-13	26.2334757039491
"NM_025145_940"	"CFAP43"	4.62245271046926	3.86653158592519	39.6056549917181	1.56077697198412e-15	4.90604228193674e-13	26.1220543383298
"NM_004310_1351"	"RHOH"	4.784367316622	4.50844146469826	39.0586932713522	1.88555856406551e-15	5.79809258450144e-13	25.934992704056
"NM_006119_564"	"FGF8"	-10.3821196395347	-8.69215220179166	-38.9796842005954	1.93817364343504e-15	5.8330779119976e-13	25.9077259669551
"NM_004467_488"	"FGL1"	3.42137290539845	3.07403844965445	38.6975172950129	2.13931528234532e-15	6.30429472266137e-13	25.8098343879715
"NM_182608_1342"	"ANKRD33"	3.78745229386569	3.51112464813315	38.3530526305138	2.41570088450667e-15	6.84375548185427e-13	25.6892305675768
"NM_024863_1407"	"TCEAL4"	5.12469532880676	4.10636383236287	38.349033857607	2.41914297697217e-15	6.84375548185427e-13	25.6878163110728
"NM_000059_9108"	"BRCA2"	-6.64152385271311	-5.41177880215983	-37.9758751521874	2.76286488341745e-15	7.66288701489018e-13	25.5557644683051
"NM_022783_1683"	"DEPTOR"	6.12951329533798	5.81160966570057	37.8052139791702	2.93719840209507e-15	7.98974449954514e-13	25.494884198679
"NM_173607_655"	"FAM177A1"	9.07489308513783	9.06307320501763	37.6548985724047	3.10053514687457e-15	8.22680796438253e-13	25.4410056482057
"NM_003165_3451"	"STXBP1"	3.52732508070115	3.19445061597555	37.5690815245306	3.1981321116692e-15	8.22680796438253e-13	25.4101373230014
"NM_001313_2594"	"CRMP1"	6.59485808888478	6.04100004202021	37.5493268860358	3.22106165203647e-15	8.22680796438253e-13	25.4030203969249
"NM_153344_1368"	"C6orf141"	-4.92976150070542	-4.21714254657182	-37.5186745005005	3.25699007426951e-15	8.22680796438253e-13	25.3919690674755
"NM_014451_2722"	"BBS9"	8.03270634770069	7.33476741473117	37.180292005404	3.68345771963304e-15	9.11949127225442e-13	25.2692932076268
"NM_014780_5321"	"CUL7"	5.29091862010639	4.81078068538126	37.1390866496682	3.73934601478089e-15	9.11949127225442e-13	25.2542694892002
"NM_058246_1949"	"DNAJB6"	4.12157783815902	3.58929748422905	36.6284743119443	4.51267845027217e-15	1.0818955369339e-12	25.0665377630886
