"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"NM_018066_1375"	"GPN2"	-10.0401056724986	-3.76300459868804	-47.0054535216403	1.51605567011269e-16	2.14446074537441e-12	26.6814039333704
"NM_175575_952"	"WFIKKN2"	-5.50466233844027	-0.882785843541452	-40.1892542082136	1.27927341109493e-15	9.04766119996886e-12	25.1505830995905
"NM_001731_593"	"BTG1"	-3.32056487646833	2.20444078761094	-33.0532386546936	1.81713964524459e-14	6.77988753146392e-11	23.0416542276174
"NM_020933_3783"	"ZNF317"	-8.88274316753368	-2.40258978618768	-32.9226438082023	1.91725345534505e-14	6.77988753146392e-11	22.9969359672923
"NM_016124_1431"	"RHD"	-4.17976806590142	-1.19629904354924	-28.7026304797567	1.2253183408259e-13	3.46642558619647e-10	21.4050822829953
"NM_014331_2306"	"SLC7A11"	4.7218088315578	-2.30297960490456	24.4902943610969	1.03756326187731e-12	1.83454154240681e-09	19.475495972708
"NM_004610_1418"	"TCP10"	-8.06457664407196	-5.01256186486702	-23.7819528382637	1.53801790525042e-12	2.1889895974176e-09	19.1102586302308
"NM_024847_2166"	"TMC7"	-8.03631799769269	-0.782599714621225	-23.7710081272541	1.54753594727296e-12	2.1889895974176e-09	19.1045121343997
"NM_000511_600"	"FUT2"	4.74602444980922	-2.79752771495733	23.489756827509	1.81510083301861e-12	2.20222842798375e-09	18.9557382092942
"NM_001892_1701"	"CSNK1A1"	-4.07536496276423	-2.02288836832494	-23.4391756927225	1.86827438217073e-12	2.20222842798375e-09	18.9287549110345
"NM_016333_8828"	"SRRM2"	-4.44490811245818	-2.66986380728314	-22.3531772447586	3.52444861013237e-12	3.36955009785396e-09	18.3320849005055
"NM_007038_5409"	"ADAMTS5"	-5.71841110186926	-2.85870673292361	-22.0463664596437	4.23911892061237e-12	3.74764607075388e-09	18.157292303057
"NM_145029_1402"	"C6orf136"	-4.41960724654675	-2.91825136723033	-21.6495487058085	5.40216354262593e-12	4.30455959137711e-09	17.9269624479102
"NM_006918_1533"	"SC5D"	3.8801961656458	-0.910248131675442	21.6270273142991	5.47770043441414e-12	4.30455959137711e-09	17.9137432184953
"NM_030775_2134"	"WNT5B"	-4.3950382815019	0.0324502463247744	-21.3490146212882	6.50931401370943e-12	4.84601298546946e-09	17.7492363735508
"NM_022469_1779"	"GREM2"	-8.33556228782824	0.0670790134080633	-21.1975524847308	7.15731792058548e-12	4.96098167483081e-09	17.6585694758492
"NM_021940_2821"	"SMAP1"	-7.47397492638626	-4.19864935596978	-21.1129788258102	7.54892768010272e-12	4.96098167483081e-09	17.6076181859666
"NM_018122_2064"	"DARS2"	-4.17652670714349	-1.80921385603484	-21.0783347720843	7.71591352748517e-12	4.96098167483081e-09	17.5866792739531
"NM_003222_2680"	"TFAP2C"	-5.01597032230266	-2.94138226443125	-20.9885892209579	8.16716394447468e-12	5.02280582585193e-09	17.5322530579531
"NM_013444_1251"	"UBQLN2"	5.51682034635607	-4.98967150641373	20.7272065439304	9.65015487640095e-12	5.68756003027881e-09	17.3722096010818
"NM_005475_5085"	"SH2B3"	-3.46965694122641	-2.11782573429267	-20.3207438589925	1.2558733981545e-11	6.83243431419056e-09	17.1187198314769
"NM_024790_1232"	"CSPP1"	-9.25090873236304	0.281186777669046	-20.2102206689149	1.35029372547357e-11	6.93189783763364e-09	17.0487997098603
"NM_003162_2388"	"STRN"	5.23266079916075	1.47159547165279	20.1857965936924	1.37216782929475e-11	6.93189783763364e-09	17.0332902194004
"NM_080745_531"	"TRIM69"	-4.54960035223814	-2.75465900675849	-19.9443161693994	1.61004563645986e-11	7.85313638887060e-09	16.8788036932124
"NM_018168_2161"	"C14orf105"	-7.57418113735037	-6.85804458955965	-19.7676896217467	1.81185420369739e-11	8.54289257043321e-09	16.7644743984112
