ProbeID	SYMBOL	logFC	AveExpr	t	P.Value	adj.P.Val	B
NM_018004_974	NM_018004_974	TMEM45A	-5.2971401713198	2.13881142775554	-46.3216006781158	7.11629214559106e-17	1.73068224980775e-12	27.409162250903
NM_032488_120	NM_032488_120	CNFN	-3.35758827133349	2.10795622467051	-41.7651657348005	3.05595582006316e-16	3.62751658064675e-12	26.369302656829
XM_043500_346	XM_043500_346	DAPL1	-2.65346202119925	1.45719123028228	-40.6476309795308	4.47473262415306e-16	3.62751658064675e-12	26.0856624963811
AF086204_317	AF086204_317	LOC645638	-4.67424995194071	1.46073312388662	-37.4891415114041	1.39403343846547e-15	8.47572330587007e-12	25.2136467152397
NM_013314_1707	NM_013314_1707	BLNK	-2.9297247096598	0.598101721358125	-36.7251569832916	1.86111939410627e-15	9.05248473293291e-12	24.9857128351664
NM_017422_156	NM_017422_156	CALML5	-3.67447472863773	1.99140218876109	-31.9701780078539	1.29878768614231e-14	5.26441942116349e-11	23.3930926366971
NM_024702_2444	NM_024702_2444	ZNF750	-2.21097421565551	1.40494880103576	-29.4928166491592	4.00883971304294e-14	1.21973810335223e-10	22.4251358348772
NM_001942_4233	NM_001942_4233	DSG1	-4.42629714219593	2.6968825787165	-29.3680486732957	4.25319407874465e-14	1.21973810335223e-10	22.3735024284133
NM_001706_3398	NM_001706_3398	BCL6.1	-2.15942653947508	0.762056764171454	-29.2431468349279	4.51383344168177e-14	1.21973810335223e-10	22.3215208898277
NM_020387_725	NM_020387_725	RAB25	-1.41574613257143	3.01733176854935	-26.4982452845277	1.78202743632149e-13	4.33389072513387e-10	21.1002745140115
NM_032495_1026	NM_032495_1026	HOPX	-4.25514266886125	3.45921214467829	-25.9780179606148	2.34763395680594e-13	5.12240003041954e-10	20.850503537821
NM_152443_1318	NM_152443_1318	RDH12	-2.31937967507394	1.17957781531334	-25.7986664571118	2.58486733636828e-13	5.12240003041954e-10	20.7629340127078
NM_002539_1842	NM_002539_1842	ODC1	3.11232436754028	-0.122893591795419	25.691924238335	2.73812501626045e-13	5.12240003041954e-10	20.7104546008794
NM_001264_1571	NM_001264_1571	CDSN	-4.01054604510603	2.24970257227631	-25.4281993670137	3.16000439594453e-13	5.25819759431484e-10	20.5796228067437
NM_004948_1769	NM_004948_1769	DSC1	-3.29888930306441	1.59502879433438	-25.3806912614623	3.24313173991458e-13	5.25819759431484e-10	20.5558752474286
XM_353187_442	XM_353187_442	IGFL1	-2.01441291975512	1.01278613952457	-24.8706030366559	4.29868361870692e-13	6.53399910043452e-10	20.2973873860189
NM_138419_865	NM_138419_865	FAM54A	2.17182675884248	-0.688711585124514	24.5025738113938	5.286021388693e-13	7.40884022279103e-10	20.1068075125783
NM_145650_926	NM_145650_926	MUC15	-1.60310252495699	0.753175909787109	-24.4378285569996	5.4835166122631e-13	7.40884022279103e-10	20.0729180823614
NM_001546_1177	NM_001546_1177	ID4	-4.11235891559198	0.629575063400369	-23.6287911958372	8.74164889194486e-13	1.11893105816894e-09	19.6400387624452
NM_020799_1536	NM_020799_1536	STAMBPL1	1.58400277658458	-0.418597875559949	23.5073181778058	9.387996805349e-13	1.14158041153044e-09	19.5735028577295
NM_004596_790	NM_004596_790	SNRPA	1.38606262161107	-0.397001816744488	23.1449729492079	1.16385061688477e-12	1.34784985726846e-09	19.3725633033641
NM_178433_201	NM_178433_201	LCE3B	-2.89718494634576	1.67172647823981	-22.7779822953174	1.45159745248961e-12	1.58997869152471e-09	19.1651984863395
NM_005046_565	NM_005046_565	KLK7	-2.52680015598473	1.5939808727732	-22.7199403890213	1.50368050596498e-12	1.58997869152471e-09	19.1320405357154
NM_024102_1597	NM_024102_1597	WDR77	1.50311613840712	-0.33119583396526	22.5374857372511	1.68082937860896e-12	1.70324043699041e-09	19.0271548467608
NM_017443_2064	NM_017443_2064	POLE3.1	1.4238955047108	-0.421067846479825	22.4137235904099	1.81361270980189e-12	1.76428244409528e-09	18.9554391622054
NM_000894_474	NM_000894_474	LHB	-1.27770778376002	0.767476515164694	-22.0513925009972	2.27102309451388e-12	2.12428006379145e-09	18.7427866482855
NM_004669_196	NM_004669_196	CLIC3	-3.14559988051652	2.31821241874623	-21.9526972187746	2.41596845578404e-12	2.17616121646918e-09	18.6841554382997
NM_001762_1622	NM_001762_1622	CCT6A	1.04732529627345	-0.275958765459536	21.8715446898792	2.54255740444373e-12	2.20144422570215e-09	18.6357157660053
NM_001226_591	NM_001226_591	CASP6	1.40435703701336	-0.124864718586614	21.8209352185955	2.62507740729286e-12	2.20144422570215e-09	18.6054014355603
NM_003986_1166	NM_003986_1166	BBOX1	-2.70926873641095	1.54613564593675	-21.6893775277672	2.85327136068853e-12	2.31305198306483e-09	18.5262177612447
NM_001323_311	NM_001323_311	CST6	-3.46194685405504	2.32121252213848	-21.5616763288141	3.09515144162666e-12	2.42819622775356e-09	18.448822444864
NM_000779_1883	NM_000779_1883	CYP4B1	-4.49010593095859	2.22831890018486	-21.5025620934005	3.21445697782021e-12	2.44298730314336e-09	18.4128160904344
NM_004605_675	NM_004605_675	SULT2B1	-2.48412179492623	2.55633122757972	-21.0809895429801	4.22180630922941e-12	3.05894998866991e-09	18.1526939737909
NM_178434_178	NM_178434_178	LCE3C	-2.59719758247782	1.51761631120086	-21.06128033514	4.27649258284444e-12	3.05894998866991e-09	18.1403874068829
NM_000695_2479	NM_000695_2479	ALDH3B2.1	-2.08280589094398	1.14004459103414	-20.9939083175108	4.46921571975937e-12	3.10546646584422e-09	18.0982203905403
NM_153338_2254	NM_153338_2254	GGT6	-1.78566335065579	0.804202089525773	-20.8572701539896	4.88916823375611e-12	3.30290476235968e-09	18.0122254004429
NM_015515_2049	NM_015515_2049	KRT23	-5.42926198816379	2.16400067626415	-20.7039889960974	5.41098804809216e-12	3.41774975021633e-09	17.9149905187296
NM_032563_393	NM_032563_393	LCE3D	-3.23710474276682	1.54403104325276	-20.693727401987	5.44798536167754e-12	3.41774975021633e-09	17.9084518672271
NM_002658_1725	NM_002658_1725	PLAU	2.11001816287865	1.25967947538637	20.6846972375374	5.48076645799494e-12	3.41774975021633e-09	17.9026948386896
NM_001333_1042	NM_001333_1042	CTSL2	-2.19971437253572	2.02393475885415	-20.4951559266206	6.21978623823476e-12	3.75215666489795e-09	17.7811954653538
AK093748_1755	AK093748_1755	METRNL	-3.18738085351472	0.411747368547402	-20.3792335245618	6.7237020829972e-12	3.75215666489795e-09	17.7062602647029
NM_005218_217	NM_005218_217	DEFB1	-2.83279171006943	2.12232576974471	-20.3676348481628	6.7764708340078e-12	3.75215666489795e-09	17.6987361687335
NM_153347_1799	NM_153347_1799	TMEM86A	-1.78875660100428	1.42178797219273	-20.3571817340851	6.82440692805648e-12	3.75215666489795e-09	17.691951069852
NM_138279_551	NM_138279_551	BNIPL.1	-1.27511303384379	0.952112807574443	-20.333481860896	6.93443724241787e-12	3.75215666489795e-09	17.6765529918332
