"ID"	"ID0"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"16912"	"NM_018066"	"NM_018066_1375"	5.20994368301995	-0.0930219338790103	52.5580106832241	8.08911312980539e-29	1.84075858381851e-24	53.7266093424419
"13175"	"NM_020933"	"NM_020933_3783"	4.68906912626214	-0.00207220253312682	39.289219987284	1.9490919282682e-25	2.21767679598356e-21	47.252458815116
"5886"	"NM_175575"	"NM_175575_952"	2.86791986043499	-0.00324129877224079	36.5732402353214	1.31230929313226e-24	7.85034584634684e-21	45.5651912531678
"14228"	"AK094430"	"AK094430_2137"	3.37690746207886	0.0270267739585674	36.5041996380718	1.379916654306e-24	7.85034584634684e-21	45.520286757698
"5419"	"NM_031487"	"NM_031487_4380"	3.64638395896155	-0.0928765040049464	33.051939440834	1.92551855473157e-23	8.76342004629432e-20	43.1338355279495
"20638"	"BC036902"	"BC036902_1158"	1.82766002659428	-0.00724125931736699	32.664143028967	2.63149433403346e-23	9.98038084421092e-20	42.8472895694506
"15353"	"NM_004610"	"NM_004610_1418"	4.38266149830627	-0.0811560778122288	30.7501293936531	1.29721583184081e-22	4.21706335276708e-19	41.3725528328897
"21088"	"NM_003162"	"NM_003162_2388"	-2.76686778717795	-0.0926961700309431	-29.8403173196582	2.86274337412646e-22	8.1430735277027e-19	40.6341403418517
"21194"	"XM_290972"	"XM_290972_2825"	2.24049671981524	-0.0702071619480282	29.2328855280289	4.91866507869641e-22	1.24365713923128e-18	40.1268311135208
"21336"	"NM_003222"	"NM_003222_2680"	2.85835118393767	-0.00910396269679012	29.0124847850343	6.00172763785047e-22	1.36575314126925e-18	39.9398290434145
"7020"	"NM_016333"	"NM_016333_8828"	2.56215357746263	-0.0928708025008305	28.1844839915291	1.28403642339347e-21	2.65632116824924e-18	39.2228982883212
"20793"	"NM_021940"	"NM_021940_2821"	4.04136324234848	-0.00953667011937612	28.0363453637802	1.47444779524824e-21	2.77950065782373e-18	39.092174346651
"1058"	"BC038539"	"BC038539_35"	-2.12872701629411	-0.0151893524074118	-27.9572509050516	1.58786731199282e-21	2.77950065782373e-18	39.0220660616836
"19959"	"BC039509"	"BC039509_229"	3.30188329278166	-0.0621694677137228	26.9498190443163	4.15305284131931e-21	6.75049074693302e-18	38.1096084415027
"17458"	"NM_015959"	"NM_015959_1061"	4.18450039837293	-0.0458332129727062	26.7140038704942	5.22643142049777e-21	7.92884489365648e-18	37.890661560684
"20681"	"AK090966"	"AK090966_1172"	2.65207174417991	-0.0430948265241411	26.3602462203904	7.40496806152336e-21	1.05317158255016e-17	37.5582647502673
"8647"	"NM_016616"	"NM_016616_2080"	3.16093140487036	-0.0210897516246819	25.7508924174769	1.36345676338338e-20	1.78675614120942e-17	36.9743206375054
"19835"	"AL133577"	"AL133577_681"	3.47700191120805	0.008193206737877	25.715445168685	1.41332442176875e-20	1.78675614120942e-17	36.9398985613638
"4024"	"NM_007038"	"NM_007038_5409"	3.22052413646932	-0.146870851920511	24.8555832746448	3.4267274875466e-20	4.10413740561108e-17	36.089141144648
"8770"	"XM_040527"	"XM_040527_4529"	2.48117739496923	0.0457492501786785	24.6435481860887	4.28162772415785e-20	4.87163602454681e-17	35.8745824428372
"9699"	"XM_352922"	"XM_352922_1794"	-3.06866168281117	-0.0655864053388929	-24.2917160769391	6.22028341502516e-20	6.43403497237784e-17	35.5142669462134
"5502"	"AK097541"	"AK097541_1578"	1.36833189516343	-0.0510733920533521	24.2383109385982	6.58595608323237e-20	6.51608767956678e-17	35.459098923859
"18633"	"XM_351082"	"XM_351082_654"	-1.40844908766262	0.0269719150251891	-24.1231406306964	7.45230007431963e-20	7.0660225204674e-17	35.3396955678764
"17888"	"NM_000511"	"NM_000511_600"	-2.06593686914241	-0.0416723734941038	-24.0641822197731	7.9406632167181e-20	7.22790928638548e-17	35.2783409027078
"5673"	"NM_005475"	"NM_005475_5085"	2.01823391675603	0.030243555181948	23.742397623341	1.12565495577366e-19	9.85207852830205e-17	34.9407109306266
